trial_id,title,intervention_name,intervention_type,phase,status,summary,sponsor,outcome
NCT04489940,"A Phase II, Multicenter, Open Label Study of Bintrafusp Alfa (M7824) Monotherapy in Participants With HMGA2-expressing Triple Negative Breast Cancer",Bintrafusp alfa,DRUG,,TERMINATED,The main purpose of this study was to evaluate bintrafusp alfa monotherapy in participants with triple negative breast cancer (TNBC) who express high levels of HMGA2 as determined by a centralized reverse transcriptase-polymerase chain reaction (RT-PCR) test.,"EMD Serono Research & Development Institute, Inc.",0.0
NCT03199040,A Randomized Phase 1 Trial of Neoantigen DNA Vaccine Alone vs. Neoantigen DNA Vaccine Plus Durvalumab in Triple Negative Breast Cancer Patients Following Standard of Care Therapy,Durvalumab; Neoantigen DNA vaccine; TDS-IM system (Inchor Medical Systems); Peripheral blood draw,DRUG; BIOLOGICAL; DEVICE; PROCEDURE,,TERMINATED,"This is a single institution, open-label randomized phase 1 trial of neoantigen DNA vaccine alone vs. neoantigen DNA vaccine plus durvalumab in triple negative breast cancer (TNBC) patients following standard of care therapy. Patients with newly diagnosed clinical stage II-III TNBC are eligible for enrollment. Patients will receive standard of care therapy including chemotherapy, surgery and radiation therapy as clinically indicated. Following standard of care therapy, patients will be randomized to receive either a neoantigen DNA vaccine alone, or a neoantigen DNA vaccine + durvalumab.",Washington University School of Medicine,0.0
NCT02706392,Phase I Study of Adoptive Immunotherapy for Advanced ROR1+ Malignancies With Defined Subsets of Autologous T Cells Engineered to Express a ROR1-Specific Chimeric Antigen Receptor,Laboratory Biomarker Analysis; ROR1 CAR-specific Autologous T-Lymphocytes,OTHER; BIOLOGICAL,,TERMINATED,"This phase I trial studies the side effects and best dose of genetically modified T-cell therapy in treating patients with receptor tyrosine kinase-like orphan receptor 1 positive (ROR1+) chronic lymphocytic leukemia (CLL), mantle cell lymphoma (MCL), acute lymphoblastic leukemia (ALL), stage IV non-small cell lung cancer (NSCLC), or triple negative breast cancer (TNBC) that has spread to other places in the body and usually cannot be cured or controlled with treatment (advanced). Genetically modified therapies, such as ROR1 specific chimeric antigen receptor (CAR) T-cells, are taken from a patient's blood, modified in the laboratory so they specifically may kill cancer cells with a protein called ROR1 on their surfaces, and safely given back to the patient after conventional therapy. The ""genetically modified"" T-cells have genes added in the laboratory to make them recognize ROR1.",Fred Hutchinson Cancer Center,0.0
NCT04149444,A Phase 2 Study of Trifluridine/Tipiracil in Triple Negative Metastatic Breast Cancer,Trifluridine/Tipiracil,DRUG,,WITHDRAWN,"This is an open-label, single arm, multi-stage, phase II trial of Trifluridine/tipiracil as a palliative treatment for patients with metastatic triple negative breast cancer who have failed both a taxane and anthracycline or have contraindications to these agents.",AHS Cancer Control Alberta,0.0
NCT06371989,Vacuum Assisted Biopsy and Surgery Correlation in HER2 and TN Breast Cancer Subtypes MRI Responders After Neoadjuvant Therapy: BISUCO TRIAL,Image guided vacuum assisted biopsy,PROCEDURE,,COMPLETED,"BACKGROUND AND CURRENT STATUS:

Advancements in neoadjuvant systemic treatments (NST) for HER2 positive and triple-negative (TN) breast cancer (BC) subtypes have led to high rates of pathologic complete response (pCR), raising questions about the necessity of subsequent surgery, especially for those undergoing adjuvant radiotherapy. While Magnetic Resonance Imaging (MRI) remains the most effective imaging technique for assessing neoadjuvant treatment response, surgery is still required to confirm pCR in cases of almost complete or complete MRI response (iCR). To safely avoid surgery in these BC ""exceptional responders,"" a technique with high negative predictive value is imperative.

OBJECTIVE:

This study aims to establish the diagnostic efficacy of image-guided vacuum-assisted biopsy (VAB) in assessing pathological complete response (pCR) after NST in HER2 positive or TN breast cancer subtypes, particularly those showing post NST-MRI complete or almost complete response.

METHODS:

A prospective study was conducted at ""Hospital Universitario 12 de Octubre de Madrid"" from June 25, 2018, to October 25, 2029. Twenty-five patients with HER2-positive or TN operable invasive ductal carcinoma (IDC) BC subtype, at stages cT1-3/N0-2 undergoing primary NST and showing complete or almost complete response on post NST-MRI, were enrolled. Ultrasound or stereotactic-guided vacuum-assisted biopsy (VAB) of the previous clip and tumor bed area was performed before surgery. VAB pathological results were compared with surgical pathological results to evaluate the diagnostic efficacy of predicting pCR with VAB after NST. Pathological representativeness of the VAB sample was ensured. pCR was defined as the absence of invasive ductal carcinoma and in situ ductal carcinoma.",Hospital Universitario 12 de Octubre,1.0
NCT01167192,Effect of Neoadjuvant Platinum-based Chemoradiation Therapy for Locally Advanced Triple Negative Breast Cancer: Clinical Outcome and Correlation to Biological Parameters,Cisplatin; Carboplatin; Radiation therapy; Mastectomy (recommended but not mandatory),DRUG; DRUG; RADIATION; PROCEDURE,,TERMINATED,"The purpose of this study is to determine whether platinum-based chemotherapy (either cisplatin or carboplatin), when given with radiation therapy prior to surgery, is effective in improving response to treatment in triple negative breast cancer patients. This treatment is being studied in this type of breast cancer because it does not respond well to commonly used treatments such as tamoxifen or herceptin.",Washington University School of Medicine,0.0
NCT04081389,Phase I Clinical Trial Assessing the Combination of Chemokine Modulation With Neoadjuvant Chemotherapy in Triple Negative Breast Cancer,Celecoxib; Cyclophosphamide; Doxorubicin; Doxorubicin Hydrochloride; Paclitaxel; Recombinant Interferon Alfa-2b; Rintatolimod,DRUG; DRUG; DRUG; DRUG; DRUG; BIOLOGICAL; DRUG,,COMPLETED,"This phase I trial studies how well chemokine modulation therapy and standard chemotherapy given before surgery work in treating patients with early stage triple negative breast cancer. Chemokine modulation therapy, including celecoxib, recombinant interferon alfa-2b, and rintatolimod, may stimulate the immune system and stop tumor cells from growing. Drugs used in standard chemotherapy, such as paclitaxel, doxorubicin, and cyclophosphamide, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Giving chemokine modulation therapy together with standard chemotherapy may work better than giving either therapy alone in treating patients with triple negative breast cancer.",Roswell Park Cancer Institute,1.0
NCT01520389,A Phase 1 and Pharmacologic Study of MM-151 in Patients With Refractory Advanced Solid Tumors,MM-151; MM-151 + irinotecan,DRUG; DRUG,,COMPLETED,"This study is a Phase 1 and pharmacologic open-labeled dose-escalation trial using a ""3+3"" design, evaluating MM-151 at varying dose levels and frequencies, and subsequently in combination with irinotecan.",Merrimack Pharmaceuticals,1.0
NCT05712889,"An Open-label, Multicenter Phase 1 Study to Characterize Safety, Tolerability, Preliminary Antitumor Activity and Pharmacokinetics of VIP236 Monotherapy in Subjects With Advanced Cancer",VIP236 (Q3W); VIP236 (Q2W),DRUG; DRUG,,COMPLETED,"Determine the safety, tolerability, and maximum tolerated dose (MTD) of IV administered VIP236 as monotherapy in patients with advanced solid tumor cancer","Vincerx Pharma, Inc.",1.0
NCT02445391,A Randomized Phase III Post-operative Trial of Platinum Based Chemotherapy vs. Capecitabine in Patients With Residual Triple-Negative Basal-Like Breast Cancer Following Neoadjuvant Chemotherapy,Capecitabine; Carboplatin; Cisplatin,DRUG; DRUG; DRUG,,ACTIVE_NOT_RECRUITING,"This randomized phase III trial studies how well cisplatin or carboplatin (platinum based chemotherapy) works compared to capecitabine in treating patients with remaining (residual) basal-like triple-negative breast cancer following chemotherapy after surgery (neoadjuvant). Drugs used in chemotherapy, such as cisplatin, carboplatin and capecitabine, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. It is not yet known whether cisplatin or carboplatin is more effective than capecitabine in treating patients with residual triple negative basal-like breast cancer.",ECOG-ACRIN Cancer Research Group,1.0
NCT02187991,"A Phase II, Multicenter, Randomized, Parallel Group Study to Compare Alisertib in Combination With Paclitaxel vs. Paclitaxel Alone in Patients With Metastatic or Locally Recurrent Breast Cancer",Paclitaxel; Alisertib,DRUG; DRUG,,COMPLETED,"The goal of this clinical research study is to learn if the study drug, alisertib (MLN8237), in combination with chemotherapy (paclitaxel), can shrink or slow tumor growth in women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative or HR-negative, HER2-negative (triple negative) locally recurrent or metastatic breast cancer (MBC). The safety of alisertib in combination with paclitaxel will also be studied. The physical state of the patient, symptoms, changes in the size of the tumor, and laboratory findings obtained while on-study will help the research team decide if alisertib plus paclitaxel is safe and effective in patients with this type of breast cancer.

Alisertib belongs to a group of drugs called Aurora kinase inhibitors. Alisertib blocks the activity of Aurora A kinase, a protein that is involved in tumor cell multiplication and survival. Aurora A kinase is expressed at higher than normal levels in many types of cancer, including breast cancer, and preclinical studies suggest that blocking the activity of this protein can lead to the death of cancer cells.

Paclitaxel is a chemotherapy drug commonly used to treat many different kinds of cancer, including metastatic breast cancer. The reason to combine alisertib and paclitaxel is that in cancer therapy, combinations of drugs are often more effective as a treatment than either of the same drugs used alone.",US Oncology Research,1.0
NCT03473691,Pilot Study of the Antibody-drug Conjugate Glembatumumab Vedotin (CDX-011) Following Doxorubicin (Adriamycin) and Cytoxan as Neo-adjuvant Therapy in Glycoprotein NMB-expressing High Risk Triple Negative Breast Cancer,Glembatumumab Vedotin,DRUG,,WITHDRAWN,"This is a single arm, pilot study assessing safety/feasibility and efficacy of neo-adjuvant glembatumumab vedotin (GV) in patients with high risk triple negative breast cancer (TNBC) with glycoprotein-NMB (gpNMB) expression ≥ 25%. Primary endpoints will be safety/feasibility, and secondary endpoints will be rates of pathologic complete response (pCR), and measurements of growth differentiation factor-11 (GDF11) and glycoprotein NMB (gpNMB) expression.",University of Virginia,0.0
NCT03075462,"An Open, Non-randomised, Multi-centre Phase I Study to Assess the Safety and Efficacy of Fluzoparib Given in Combination With Apatinib in Patients With Recurrent Ovarian Cancer or Triple Negative Breast Cancer",Fluzoparib; Apatinib,DRUG; DRUG,,COMPLETED,"Fluzoparib is an oral potent, selective poly-ADP ribose polymerase-1 (PARP-1) and PARP-2 inhibitor; Apatinib is an oral selective vascular endothelial growth factor receptor (VEGFR) inhibitor. This open-label, dose finding phase I trial studies the tolerability and the best dose of fluzoparib in combination with apatinib and to see how well these two drugs work together in the treatment of patients with recurrent ovarian cancer or triple negative breast cancer. The safety and efficacy of fluzoparib in combination with apatinib will be explored. Both dose escalation and dose expansion parts are included in this study.","Jiangsu HengRui Medicine Co., Ltd.",1.0
NCT01846091,Phase I Trial of Intratumoral Administration of a NIS-Expressing Derivative Manufactured From a Genetically Engineered Strain of Measles Virus in Patients With Recurrent/Metastatic Squamous Cell Carcinoma of the Head and Neck or Metastatic Breast Cancer,Laboratory Biomarker Analysis; Oncolytic Measles Virus Encoding Thyroidal Sodium Iodide Symporter,OTHER; BIOLOGICAL,,COMPLETED,"This phase I trial studies the side effects and the best dose of viral therapy in treating patients with squamous cell carcinoma of the head and neck that has returned (come back) after a period of improvement or has spread to other parts of the body or breast cancer that has spread to other parts of the body. A virus called encoding thyroidal sodium iodide symporter, which has been changed in a certain way, may be able to kill tumor cells without damaging normal cells.",Mayo Clinic,1.0
NCT04434560,"A Phase II Trial of Surgery and Stereotactic Radiosurgery With Neoadjuvant Nivolumab and Ipilimumab in Patients With Surgically-resectable, Solid Tumor Brain Metastases",Nivolumab; Ipilimumab,DRUG; DRUG,,TERMINATED,"The purpose of this phase 2 study is to assess the feasibility and efficacy of neoadjuvant immunotherapy in patients with previously untreated, surgically-resectable, solid tumor brain metastases. The primary objectives of this study are to 1) assess the feasibility of neoadjuvant ipilimumab and nivolumab treatment before surgery and stereotactic radiosurgery (SRS) in patients with solid tumor brain metastases as measured by the proportion of patients who have their surgery delayed or surgery never occurs, and 2) demonstrate that neoadjuvant immunotherapy will increase proliferation of circulating T-cells compared to baseline measurements. Exploratory objectives include describing patient progression free survival and overall survival, time to local and distant intracranial progression, and the rate of radiation necrosis. The rate of radionecrosis will also be explored, as immune expression profiles.","Sarah Sammons, MD",0.0
NCT00827567,A Phase II Trial of RAD001 in Triple Negative Metastatic Breast Cancer,RAD 001,DRUG,,TERMINATED,"The hypothesis of this clinical research study is to discover if the study drug RAD001 can shrink or slow the growth of Estrogen Receptor/Progesterone Receptor (ER/PR) negative or Human Epidermal growth factor Receptor 2 (Her2 Neu) negative breast cancer. The safety of RAD001 will also be studied. Patients physical state, symptoms, changes in the size of the tumor, and laboratory findings obtained while on-study will help the research team decide if RAD001 is safe and effective.",Milton S. Hershey Medical Center,0.0
NCT03435640,"A Phase 1/2, Open-label, Multicenter, Dose Escalation and Dose Expansion Study of NKTR-262 in Combination With Bempegaldesleukin (NKTR-214) With or Without Nivolumab in Patients With Locally Advanced or Metastatic Solid Tumor Malignancies",NKTR-262; bempegaldesleukin; nivolumab,DRUG; DRUG; DRUG,,TERMINATED,"Patients received intratumoral (IT) injections of NKTR-262 in 3-week cycles for up to 3 cycles; bempegaldesleukin with or without nivolumab was administered every 3 weeks (q3w), and treatment continued until unacceptable toxicity, death, or disease progression per RECIST 1.1. Based on Phase 1 results of the study, the decision was made not to start the Phase 2 part of the study and the study was terminated.",Nektar Therapeutics,0.0
NCT04464967,"A Phase 1/2a, Open-Label, Multi-Center Study Evaluating the Safety and Anti-Tumor Activity of Ex Vivo Expanded, Autologous Natural Killer Cells (SNK01) in Combination With Trastuzumab or Cetuximab in Subjects With Advanced/Metastatic HER2- or EGFR-Expressing Cancers",SNK01; Trastuzumab; Cetuximab,BIOLOGICAL; DRUG; DRUG,,WITHDRAWN,"The purpose of the Phase 1/2a study is to evaluate the safety and tolerability of SNK01 in combination with trastuzumab or cetuximab in order to determine the maximum tolerated dose (MTD)/recommended Phase 2 dose (RP2D), and the preliminary efficacy for each combination regimen.","NKGen Biotech, Inc.",0.0
NCT03750240,Metabolic Sodium MRI to Assess Early Response of Breast Cancer to Neoadjuvant Chemotherapy,Sodium (Na) Magnetic Resonance Imaging (MRI); Dynamic Contrast- Enhanced (DCE) MRI,DIAGNOSTIC_TEST; DIAGNOSTIC_TEST,,TERMINATED,"Neoadjuvant chemotherapy (NACT) is administered to treat invasive breast cancer before surgery. It offers the opportunity to evaluate tumor response to treatment in aggressive disease, and guide additional therapies for patients with inadequate response, if detected early. Investigators propose to develop a sodium breast MRI technique that will allow to assess the early metabolic response of breast cancer to NACT, occurring before late structural changes can be detected with standard MRI.

This study will scan 12 patients using 1H/23Na MRI at 7 T and DCE MRI with triple-negative breast cancer undergoing AC-T therapy (2 months of Adriamycin + Cyclophosphamide, then 3 months of Taxol): at baseline (pre-NACT); after the first AC cycle (2 weeks); after AC treatment (2 months); after complete NACT (5 months, pre-surgery).",NYU Langone Health,0.0
NCT01836640,Developing Plasma DNA as a Surrogate for Tumor Biopsy to Identify Tumor Genetic Alterations in Patients With Advanced Breast Cancer,,,,TERMINATED,"There are three major subtypes of breast cancer:

1. Hormone receptor positive (contain cells that express the estrogen receptor or progesterone receptor).
2. Tumors that express the epidermal growth factor receptor gene ( HER-2)
3. Triple negative (cancer cells that lack the hormone receptors and the epidermal growth factor receptor gene HER-2.

While effective therapies exist for most cases of breast cancer at first occurrence, many patients eventually exhibit disease that does not respond to all standard breast therapies, particularly in the metastatic setting.

There are therapies that are used to treat other types of cancers with genetic mutations that are in the process of being evaluated for use in breast cancer. The current techniques used for detecting mutations in the genes of breast cancer patients, which can be treated with drugs specific for the genetic mutations, are invasive and identifying effective diagnostic non-invasive procedures are the next challenge for physicians. This study will compare the ability to detect genetic mutations samples from non-invasive procedures such as a blood draw, to more invasive procedures such as tissue taken from a biopsy sample.

There is also a concern with current techniques used to detect genetic mutations that cells from a single tissue sample may not be representative of the types of cells present in all the tumors in the body and therapies selected using a single tissue sample may not be effective for all of the cancer in the body. This study will use blood drawn from participants prior to any drug therapy and compare the genes from this blood to tissue samples from multiple sites of disease.

The study will also compare the genetic profile of the metastatic tumors to the genetic profile of the original breast cancer to determine if there are any changes in the genetics of the tumor cells.

The participants that have newly diagnosed metastatic disease will provide tissue from their primary site of disease via an image guided biopsy. These participants will also provide tissue from at least 2 other distant metastatic sites (lung, pleural/peritoneal, liver, brain, or skin). Each biopsy procedure will attempt to obtain 2-3 samples for research purposes.

Participants that have locally recurrent disease in the breast will have the tissue from the site of re-occurrence biopsied as well as two distant metastatic sites (lung, pleural/peritoneal, liver, brain, or skin). Participants that have either multi-centric disease or bilateral disease will have all tumors sampled with the intention of providing 2-3 samples/tumor for research purposes. Participants with multi-centric and bilateral disease will also have 2 distant sites of distant disease sampled (lung, pleural/peritoneal, liver, brain, or skin).

Prior to any scheduled biopsy procedures all participants will have a blood draw used to examine the genetics of the tumor cells in the blood. The participants will have 8 tubes of blood drawn for the test and then they will proceed onto the tissue sampling portion of the study.",Dartmouth-Hitchcock Medical Center,0.0
NCT00528567,"An International Multi-centre Open-label 2-arm Phase III Trial of Adjuvant Bevacizumab in ""Triple Negative"" Breast Cancer.",Bevacizumab; Standard adjuvant chemotherapy,DRUG; DRUG,,COMPLETED,"The main objective of the trial is to compare Invasive Disease-Free Survival (IDFS) of patients randomised to treatment with adjuvant chemotherapy alone or to adjuvant chemotherapy with 1 year of bevacizumab.

The secondary objectives of this trial are to:

* compare Overall Survival (OS), Breast Cancer-Free Interval (BCFI), Disease- Free Survival (DFS) and Distant Disease-Free Survival (DDFS) of patients randomised to treatment with adjuvant chemotherapy alone or to adjuvant chemotherapy in combination with 1 year of bevacizumab
* evaluate the safety and tolerability of bevacizumab

An exploratory sub-study (not reported here) was to identify biomarkers (from tumour or serum) predictive of toxicity and for the level of benefit from the addition of bevacizumab to standard adjuvant systemic treatment.",Hoffmann-La Roche,1.0
NCT03168880,"A Randomized Controlled Trial of Neoadjuvant Weekly Paclitaxel Versus Weekly Paclitaxel Plus Weekly Carboplatin In Women With Large Operable or Locally Advanced, Triple Negative Breast Cancer",Paclitaxel + Carboplatin; Paclitaxel only,DRUG; DRUG,,ACTIVE_NOT_RECRUITING,"Triple-negative breast cancer is a subtype of breast cancer that is clinically negative for expression of estrogen and progesterone receptors (ER/PR) and HER2 protein. It is characterized by its unique molecular profile, aggressive behavior, distinct patterns of metastasis, and lack of targeted therapies. Although not synonymous, the majority of triple-negative breast cancers carry the ""basal-like"" molecular profile on gene expression arrays.

Although sensitive to chemotherapy, early relapse is common and these cancers show a predilection for visceral metastasis, including brain metastasis. Targeted agents, including epidermal growth factor receptor (EGFR), vascular endothelial growth factor (VEGF), and poly (ADP-ribose) polymerase (PARP) inhibitors, are currently in clinical trials and hold promise in the treatment of this aggressive disease.

Multiple independent data sets have revealed that the triple negative type of breast cancer carries a poor prognosis. It is unclear whether the poor prognosis of triple negative breast cancer is due to poor therapy options or inherent aggressiveness. Given their triple negative receptor status, these tumors are not amenable to conventional targeted therapies for breast cancer, such as endocrine therapy or trastuzumab, leaving only chemotherapy in the therapeutic armamentarium.

Patients on metformin showed a 30-40% protection against all forms of cancer. Recent pilot studies carried out using population registries raise the possibility that metformin may reduce cancer risk and/or improve cancer prognosis. One showed an unexpectedly lower risk of a cancer diagnosis among diabetics using metformin compared with a control group of diabetics using other treatments ; another showed lower cancer-specific mortality among subjects with diabetes using metformin compared with diabetics on other treatments. Metformin is a biguanide known to be an insulin sensitizing agent which promotes reduced circulating insulin and glucose levels in hyper-glycaemic and hyper-insulinaemic patients. Metformin activates the AMP dependent kinase, attenuates insulin and IGF-1 stimulated proliferation in breast cancer cells and a general decrease in protein synthesis in vitro. Western blot analysis indicated that metformin stimulates AMPK phosphorylation in a dose-dependent manner. AMPK activation is associated with decreased phosphorylation of mTOR and S6 kinase. While metformin reduces breast carcinoma cell proliferation both in vitro and in vivo, the activation of AMPK leads to significant VEGF production, angiogenesis and tumor progression. This must be taken into consideration when it is applied in as a therapeutic regimen.",Tata Memorial Hospital,1.0
