head,relation,tail
NCT02883062,has_status,COMPLETED
NCT02883062,has_phase,
NCT02883062,sponsored_by,National Cancer Institute (NCI)
NCT02883062,tests,Atezolizumab
Atezolizumab,has_type,DRUG
NCT02883062,tests,Biospecimen Collection
Biospecimen Collection,has_type,PROCEDURE
NCT02883062,tests,Carboplatin
Carboplatin,has_type,DRUG
NCT02883062,tests,Lumpectomy
Lumpectomy,has_type,PROCEDURE
NCT02883062,tests,Mastectomy
Mastectomy,has_type,PROCEDURE
NCT02883062,tests,Paclitaxel
Paclitaxel,has_type,DRUG
NCT05680662,has_title,"The Study of Quadruple Therapy Quercetin, Zinc, Metformin, and EGCG as Adjuvant Therapy for Early, M"
NCT05680662,has_status,UNKNOWN
NCT05680662,has_phase,
NCT05680662,sponsored_by,"Ministry of Health, Saudi Arabia"
NCT05680662,tests,"quercetin, EGCG, metformin , zinc"
"quercetin, EGCG, metformin , zinc",has_type,COMBINATION_PRODUCT
NCT05483491,has_title,"T Cell Receptor Gene Therapy Targeting KK-LC-1 for Gastric, Breast, Cervical, Lung, and Other KK-LC-"
NCT05483491,has_status,RECRUITING
NCT05483491,has_phase,
NCT05483491,sponsored_by,Christian Hinrichs
NCT05483491,tests,KK-LC-1 TCR-T cells
KK-LC-1 TCR-T cells,has_type,BIOLOGICAL
NCT05483491,tests,Aldesleukin
Aldesleukin,has_type,DRUG
NCT06636591,has_title,"A Prospective, Open-label, Single-center, Pilot Study of Neoadjuvant Chemotherapy Combined With Immu"
NCT06636591,has_status,RECRUITING
NCT06636591,has_phase,
NCT06636591,sponsored_by,Fudan University
NCT06636591,tests,Device: Multimodal Tumor Thermal Therapy System Drug: Camrelizumab Drug: Nab paclitaxel Drug: Carboplatin
Device: Multimodal Tumor Thermal Therapy System Drug: Camrelizumab Drug: Nab paclitaxel Drug: Carboplatin,has_type,COMBINATION_PRODUCT
NCT06636591,tests,Device: Multimodal Tumor Thermal Therapy System Drug: Camrelizumab Drug: Nab paclitaxel Drug: Carboplatin Drug: Goserelin
Device: Multimodal Tumor Thermal Therapy System Drug: Camrelizumab Drug: Nab paclitaxel Drug: Carboplatin Drug: Goserelin,has_type,COMBINATION_PRODUCT
NCT05522491,has_title,"An Open-label, Single-arm, Single-center Exploratory Clinical Study of Olaparib in the Treatment of "
NCT05522491,has_status,UNKNOWN
NCT05522491,has_phase,
NCT05522491,sponsored_by,Hebei Medical University Fourth Hospital
NCT05522491,tests,Olaparib
Olaparib,has_type,DRUG
NCT02455791,has_title,Pilot Study for Identification of Breast Cancer Patients for Potential Avoidance of Surgery: Accurac
NCT02455791,has_status,ACTIVE_NOT_RECRUITING
NCT02455791,has_phase,
NCT02455791,sponsored_by,M.D. Anderson Cancer Center
NCT02455791,tests,Ultrasound-Guided Biopsy
Ultrasound-Guided Biopsy,has_type,PROCEDURE
NCT01186991,has_title,"A Randomized, Phase II, Multicenter, Double-Blind, Placebo-Controlled Study Evaluating the Safety an"
NCT01186991,has_status,COMPLETED
NCT01186991,has_phase,
NCT01186991,sponsored_by,"Genentech, Inc."
NCT01186991,tests,Onartuzumab
Onartuzumab,has_type,DRUG
NCT01186991,tests,Bevacizumab
Bevacizumab,has_type,DRUG
NCT01186991,tests,Paclitaxel
Paclitaxel,has_type,DRUG
NCT01186991,tests,Bevacizumab Placebo
Bevacizumab Placebo,has_type,DRUG
NCT01186991,tests,Onartuzumab Placebo
Onartuzumab Placebo,has_type,DRUG
NCT03872791,has_title,"A Phase Ib/II Study to Evaluate Efficacy, Safety and Tolerability of KN046 Monotherapy or in Combina"
NCT03872791,has_status,COMPLETED
NCT03872791,has_phase,
NCT03872791,sponsored_by,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd"
NCT03872791,tests,KN046
KN046,has_type,BIOLOGICAL
NCT03872791,tests,Nab-paclitaxel
Nab-paclitaxel,has_type,DRUG
NCT02368691,has_title,"A Phase 2 Open Label, Multi-Center, Multinational Study Investigating The Efficacy and Safety Of GTx"
NCT02368691,has_status,TERMINATED
NCT02368691,has_phase,
NCT02368691,sponsored_by,GTx
NCT02368691,tests,GTx-024
GTx-024,has_type,DRUG
NCT05134194,has_title,"A Muti-center, Open-label, Randomized, Phase III Study of Camrelizumab Plus Treatment of Physician C"
NCT05134194,has_status,TERMINATED
NCT05134194,has_phase,
NCT05134194,sponsored_by,"Suzhou Suncadia Biopharmaceuticals Co., Ltd."
NCT05134194,tests,Camrelizumab、Capecitabine/eribulin/gemcitabine/vinorelbine
Camrelizumab、Capecitabine/eribulin/gemcitabine/vinorelbine,has_type,DRUG
NCT05134194,tests,Capecitabine/eribulin/gemcitabine/vinorelbine
Capecitabine/eribulin/gemcitabine/vinorelbine,has_type,DRUG
NCT02679040,has_title,Histological Response Rate After Mastectomy and Immediate Breast Reconstruction at the End of Neoadj
NCT02679040,has_status,UNKNOWN
NCT02679040,has_phase,
NCT02679040,sponsored_by,Institut Paoli-Calmettes
NCT02679040,tests,Immediate mammary reconstruction
Immediate mammary reconstruction,has_type,PROCEDURE
NCT02679040,tests,Chemotherapy
Chemotherapy,has_type,DRUG
NCT02679040,tests,Radiation therapy
Radiation therapy,has_type,RADIATION
NCT05636644,has_title,Neoadjuvant Effect of Albumin Binding Paclitaxel Compared With Common Paclitaxel in Breast Cancer：an
NCT05636644,has_status,UNKNOWN
NCT05636644,has_phase,
NCT05636644,sponsored_by,Mei Zhang
NCT05636644,tests,Taxol
Taxol,has_type,DRUG
NCT04489940,has_title,"A Phase II, Multicenter, Open Label Study of Bintrafusp Alfa (M7824) Monotherapy in Participants Wit"
NCT04489940,has_status,TERMINATED
NCT04489940,has_phase,
NCT04489940,sponsored_by,"EMD Serono Research & Development Institute, Inc."
NCT04489940,tests,Bintrafusp alfa
Bintrafusp alfa,has_type,DRUG
NCT06976944,has_title,Randomized Phase II Study of Pembrolizumab + Paclitaxel +/- Bevacizumab in Patients With Recurrent T
NCT06976944,has_status,RECRUITING
NCT06976944,has_phase,
NCT06976944,sponsored_by,Yukinori Ozaki
NCT06976944,tests,Pembrolizumab
Pembrolizumab,has_type,DRUG
NCT06976944,tests,Paclitaxel
Paclitaxel,has_type,DRUG
NCT06976944,tests,Bevacizumab
Bevacizumab,has_type,DRUG
NCT06229067,has_title,Efficacy and Safety of PD-L1 Monoclonal Antibody Combined With Metronomic Chemotherapy of Vinorelbin
NCT06229067,has_status,NOT_YET_RECRUITING
NCT06229067,has_phase,
NCT06229067,sponsored_by,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences"
NCT06229067,tests,Adebrelimab
Adebrelimab,has_type,DRUG
NCT06229067,tests,Vinorelbine
Vinorelbine,has_type,DRUG
NCT06229067,tests,Cyclophosphamide (tablet)
Cyclophosphamide (tablet),has_type,DRUG
NCT06229067,tests,Capecitabine
Capecitabine,has_type,DRUG
NCT03199040,has_title,A Randomized Phase 1 Trial of Neoantigen DNA Vaccine Alone vs. Neoantigen DNA Vaccine Plus Durvaluma
NCT03199040,has_status,TERMINATED
NCT03199040,has_phase,
NCT03199040,sponsored_by,Washington University School of Medicine
NCT03199040,tests,Durvalumab
Durvalumab,has_type,DRUG
NCT03199040,tests,Neoantigen DNA vaccine
Neoantigen DNA vaccine,has_type,BIOLOGICAL
NCT03199040,tests,TDS-IM system (Inchor Medical Systems)
TDS-IM system (Inchor Medical Systems),has_type,DEVICE
NCT03199040,tests,Peripheral blood draw
Peripheral blood draw,has_type,PROCEDURE
NCT02706392,has_title,Phase I Study of Adoptive Immunotherapy for Advanced ROR1+ Malignancies With Defined Subsets of Auto
NCT02706392,has_status,TERMINATED
NCT02706392,has_phase,
NCT02706392,sponsored_by,Fred Hutchinson Cancer Center
NCT02706392,tests,Laboratory Biomarker Analysis
Laboratory Biomarker Analysis,has_type,OTHER
NCT02706392,tests,ROR1 CAR-specific Autologous T-Lymphocytes
ROR1 CAR-specific Autologous T-Lymphocytes,has_type,BIOLOGICAL
NCT04282044,has_title,A Phase 1 Study of the Safety and Efficacy of CRX100 as Monotherapy and in Combination With Pembroli
NCT04282044,has_status,RECRUITING
NCT04282044,has_phase,
NCT04282044,sponsored_by,BioEclipse Therapeutics
NCT04282044,tests,CRX100 suspension for infusion
CRX100 suspension for infusion,has_type,BIOLOGICAL
NCT04282044,tests,Fludarabine
Fludarabine,has_type,COMBINATION_PRODUCT
NCT04282044,tests,Cyclophosphamide
Cyclophosphamide,has_type,COMBINATION_PRODUCT
NCT04149444,has_title,A Phase 2 Study of Trifluridine/Tipiracil in Triple Negative Metastatic Breast Cancer
NCT04149444,has_status,WITHDRAWN
NCT04149444,has_phase,
NCT04149444,sponsored_by,AHS Cancer Control Alberta
NCT04149444,tests,Trifluridine/Tipiracil
Trifluridine/Tipiracil,has_type,DRUG
NCT05846789,has_title,A Pragmatic Phase II Trial of SOC Chemotherapy +/- Tocilizumab for Metastatic Triple Negative and ER
NCT05846789,has_status,RECRUITING
NCT05846789,has_phase,
NCT05846789,sponsored_by,Kathy Miller
NCT05846789,tests,SOC Chemotherapy
SOC Chemotherapy,has_type,DRUG
NCT05846789,tests,Tocilizumab
Tocilizumab,has_type,DRUG
NCT06371989,has_title,Vacuum Assisted Biopsy and Surgery Correlation in HER2 and TN Breast Cancer Subtypes MRI Responders 
NCT06371989,has_status,COMPLETED
NCT06371989,has_phase,
NCT06371989,sponsored_by,Hospital Universitario 12 de Octubre
NCT06371989,tests,Image guided vacuum assisted biopsy
Image guided vacuum assisted biopsy,has_type,PROCEDURE
NCT01167192,has_title,Effect of Neoadjuvant Platinum-based Chemoradiation Therapy for Locally Advanced Triple Negative Bre
NCT01167192,has_status,TERMINATED
NCT01167192,has_phase,
NCT01167192,sponsored_by,Washington University School of Medicine
NCT01167192,tests,Cisplatin
Cisplatin,has_type,DRUG
NCT01167192,tests,Carboplatin
Carboplatin,has_type,DRUG
NCT01167192,tests,Radiation therapy
Radiation therapy,has_type,RADIATION
NCT01167192,tests,Mastectomy (recommended but not mandatory)
Mastectomy (recommended but not mandatory),has_type,PROCEDURE
NCT06171789,has_title,A Phase 1/2 Study of PRO1107 in Patients With Advanced Solid Tumors
NCT06171789,has_status,RECRUITING
NCT06171789,has_phase,
NCT06171789,sponsored_by,Genmab
NCT06171789,tests,GEN1107
GEN1107,has_type,DRUG
NCT04947189,has_title,"4CAST: A Phase 1b Dose Exploration and Dose Expansion, Open-label, Single-centre Study Evaluating th"
NCT04947189,has_status,RECRUITING
NCT04947189,has_phase,
NCT04947189,sponsored_by,"St Vincent's Hospital, Sydney"
NCT04947189,tests,Seviteronel-D (Seivteronel in combination with dexamethasone)
Seviteronel-D (Seivteronel in combination with dexamethasone),has_type,DRUG
NCT04947189,tests,Docetaxel
Docetaxel,has_type,DRUG
NCT04081389,has_title,Phase I Clinical Trial Assessing the Combination of Chemokine Modulation With Neoadjuvant Chemothera
NCT04081389,has_status,COMPLETED
NCT04081389,has_phase,
NCT04081389,sponsored_by,Roswell Park Cancer Institute
NCT04081389,tests,Celecoxib
Celecoxib,has_type,DRUG
NCT04081389,tests,Cyclophosphamide
Cyclophosphamide,has_type,DRUG
NCT04081389,tests,Doxorubicin
Doxorubicin,has_type,DRUG
NCT04081389,tests,Doxorubicin Hydrochloride
Doxorubicin Hydrochloride,has_type,DRUG
NCT04081389,tests,Paclitaxel
Paclitaxel,has_type,DRUG
NCT04081389,tests,Recombinant Interferon Alfa-2b
Recombinant Interferon Alfa-2b,has_type,BIOLOGICAL
NCT04081389,tests,Rintatolimod
Rintatolimod,has_type,DRUG
NCT04905329,has_title,Defendor Special: A Multicenter Prospective Observational Post-registration Study of Combined Chemot
NCT04905329,has_status,UNKNOWN
NCT04905329,has_phase,
NCT04905329,sponsored_by,Moscow Clinical Scientific Center
NCT04905329,tests,Empegfilgrastim
Empegfilgrastim,has_type,DRUG
NCT02587689,has_title,Phase I/II Study of Anti-MUC1 CAR T Cells for Patients With MUC1+ Advanced Refractory Solid Tumor
NCT02587689,has_status,UNKNOWN
NCT02587689,has_phase,
NCT02587689,sponsored_by,"PersonGen BioTherapeutics (Suzhou) Co., Ltd."
NCT02587689,tests,anti-MUC1 CAR T Cells
anti-MUC1 CAR T Cells,has_type,BIOLOGICAL
NCT01520389,has_title,A Phase 1 and Pharmacologic Study of MM-151 in Patients With Refractory Advanced Solid Tumors
NCT01520389,has_status,COMPLETED
NCT01520389,has_phase,
NCT01520389,sponsored_by,Merrimack Pharmaceuticals
NCT01520389,tests,MM-151
MM-151,has_type,DRUG
NCT01520389,tests,MM-151 + irinotecan
MM-151 + irinotecan,has_type,DRUG
NCT05712889,has_title,"An Open-label, Multicenter Phase 1 Study to Characterize Safety, Tolerability, Preliminary Antitumor"
NCT05712889,has_status,COMPLETED
NCT05712889,has_phase,
NCT05712889,sponsored_by,"Vincerx Pharma, Inc."
NCT05712889,tests,VIP236 (Q3W)
VIP236 (Q3W),has_type,DRUG
NCT05712889,tests,VIP236 (Q2W)
VIP236 (Q2W),has_type,DRUG
NCT06084689,has_title,Targeting MDMD and PD1 in Tumors With Tertiary Lymphoid Structures
NCT06084689,has_status,NOT_YET_RECRUITING
NCT06084689,has_phase,
NCT06084689,sponsored_by,Institut Bergonié
NCT06084689,tests,Ezabenlimab + BI907828
Ezabenlimab + BI907828,has_type,DRUG
NCT02445391,has_title,A Randomized Phase III Post-operative Trial of Platinum Based Chemotherapy vs. Capecitabine in Patie
NCT02445391,has_status,ACTIVE_NOT_RECRUITING
NCT02445391,has_phase,
NCT02445391,sponsored_by,ECOG-ACRIN Cancer Research Group
NCT02445391,tests,Capecitabine
Capecitabine,has_type,DRUG
NCT02445391,tests,Carboplatin
Carboplatin,has_type,DRUG
NCT02445391,tests,Cisplatin
Cisplatin,has_type,DRUG
NCT02187991,has_title,"A Phase II, Multicenter, Randomized, Parallel Group Study to Compare Alisertib in Combination With P"
NCT02187991,has_status,COMPLETED
NCT02187991,has_phase,
NCT02187991,sponsored_by,US Oncology Research
NCT02187991,tests,Paclitaxel
Paclitaxel,has_type,DRUG
NCT02187991,tests,Alisertib
Alisertib,has_type,DRUG
NCT03473691,has_title,Pilot Study of the Antibody-drug Conjugate Glembatumumab Vedotin (CDX-011) Following Doxorubicin (Ad
NCT03473691,has_status,WITHDRAWN
NCT03473691,has_phase,
NCT03473691,sponsored_by,University of Virginia
NCT03473691,tests,Glembatumumab Vedotin
Glembatumumab Vedotin,has_type,DRUG
NCT05064280,has_title,"Phase II Study of Pembrolizumab in Combination With Lenvatinib in Patients With TNBC, NSCLC, and Oth"
NCT05064280,has_status,RECRUITING
NCT05064280,has_phase,
NCT05064280,sponsored_by,M.D. Anderson Cancer Center
NCT05064280,tests,Pembrolizumab
Pembrolizumab,has_type,DRUG
NCT05064280,tests,Lenvatinib
Lenvatinib,has_type,DRUG
NCT05706129,has_title,"A Multicenter, Open-Label, Non-Randomized Phase 1/2 Study to Assess Safety, Tolerability and Imaging"
NCT05706129,has_status,RECRUITING
NCT05706129,has_phase,
NCT05706129,sponsored_by,Debiopharm International SA
NCT05706129,tests,[68Ga]Ga-DPI-4452
[68Ga]Ga-DPI-4452,has_type,DRUG
NCT05706129,tests,[177Lu]Lu-DPI-4452
[177Lu]Lu-DPI-4452,has_type,DRUG
NCT04561362,has_title,"Phase I/II Study of the Safety, Pharmacokinetics, and Preliminary Clinical Activity of BT8009 in Pat"
NCT04561362,has_status,RECRUITING
NCT04561362,has_phase,
NCT04561362,sponsored_by,BicycleTx Limited
NCT04561362,tests,BT8009
BT8009,has_type,DRUG
NCT04561362,tests,Pembrolizumab
Pembrolizumab,has_type,DRUG
NCT03075462,has_title,"An Open, Non-randomised, Multi-centre Phase I Study to Assess the Safety and Efficacy of Fluzoparib "
NCT03075462,has_status,COMPLETED
NCT03075462,has_phase,
NCT03075462,sponsored_by,"Jiangsu HengRui Medicine Co., Ltd."
NCT03075462,tests,Fluzoparib
Fluzoparib,has_type,DRUG
NCT03075462,tests,Apatinib
Apatinib,has_type,DRUG
NCT01846091,has_title,Phase I Trial of Intratumoral Administration of a NIS-Expressing Derivative Manufactured From a Gene
NCT01846091,has_status,COMPLETED
NCT01846091,has_phase,
NCT01846091,sponsored_by,Mayo Clinic
NCT01846091,tests,Laboratory Biomarker Analysis
Laboratory Biomarker Analysis,has_type,OTHER
NCT01846091,tests,Oncolytic Measles Virus Encoding Thyroidal Sodium Iodide Symporter
Oncolytic Measles Virus Encoding Thyroidal Sodium Iodide Symporter,has_type,BIOLOGICAL
NCT05076760,has_title,Phase I Study Evaluating MEM-288 Oncolytic Virus Alone and in Combination With Standard of Care Ther
NCT05076760,has_status,RECRUITING
NCT05076760,has_phase,
NCT05076760,sponsored_by,"Memgen, Inc."
NCT05076760,tests,MEM-288 Intratumoral Injection
MEM-288 Intratumoral Injection,has_type,BIOLOGICAL
NCT05076760,tests,Nivolumab
Nivolumab,has_type,BIOLOGICAL
NCT05076760,tests,Docetaxel
Docetaxel,has_type,DRUG
NCT04434560,has_title,A Phase II Trial of Surgery and Stereotactic Radiosurgery With Neoadjuvant Nivolumab and Ipilimumab 
NCT04434560,has_status,TERMINATED
NCT04434560,has_phase,
NCT04434560,sponsored_by,"Sarah Sammons, MD"
NCT04434560,tests,Nivolumab
Nivolumab,has_type,DRUG
NCT04434560,tests,Ipilimumab
Ipilimumab,has_type,DRUG
NCT05806060,has_title,Precise Treatment for BLIS Subtype of Triple-negative Breast Cancer in the First-line Treatment of L
NCT05806060,has_status,RECRUITING
NCT05806060,has_phase,
NCT05806060,sponsored_by,Fudan University
NCT05806060,tests,"VEGFR and nab-paclitaxel, with maintenance of VEGFR and capecitabine"
"VEGFR and nab-paclitaxel, with maintenance of VEGFR and capecitabine",has_type,DRUG
NCT05806060,tests,"nab-paclitaxel, with maintenance of capecitabine"
"nab-paclitaxel, with maintenance of capecitabine",has_type,DRUG
NCT05806060,tests,Eribulin Mesylate/Vinorelbine/Capecitabine/Carboplatin/UTD1
Eribulin Mesylate/Vinorelbine/Capecitabine/Carboplatin/UTD1,has_type,DRUG
NCT05806060,tests,VEGFR and TPC
VEGFR and TPC,has_type,DRUG
NCT00827567,has_title,A Phase II Trial of RAD001 in Triple Negative Metastatic Breast Cancer
NCT00827567,has_status,TERMINATED
NCT00827567,has_phase,
NCT00827567,sponsored_by,Milton S. Hershey Medical Center
NCT00827567,tests,RAD 001
RAD 001,has_type,DRUG
NCT06324240,has_title,Clinical Evaluation of a Personalized Vaccine Immunotherapy in Combination With Checkpoint Inhibitor
NCT06324240,has_status,NOT_YET_RECRUITING
NCT06324240,has_phase,
NCT06324240,sponsored_by,Emory University
NCT06324240,tests,Ipilimumab
Ipilimumab,has_type,BIOLOGICAL
NCT06324240,tests,Pembrolizumab
Pembrolizumab,has_type,BIOLOGICAL
NCT06324240,tests,Vaccine Therapy
Vaccine Therapy,has_type,BIOLOGICAL
NCT03435640,has_title,"A Phase 1/2, Open-label, Multicenter, Dose Escalation and Dose Expansion Study of NKTR-262 in Combin"
NCT03435640,has_status,TERMINATED
NCT03435640,has_phase,
NCT03435640,sponsored_by,Nektar Therapeutics
NCT03435640,tests,NKTR-262
NKTR-262,has_type,DRUG
NCT03435640,tests,bempegaldesleukin
bempegaldesleukin,has_type,DRUG
NCT03435640,tests,nivolumab
nivolumab,has_type,DRUG
NCT04464967,has_title,"A Phase 1/2a, Open-Label, Multi-Center Study Evaluating the Safety and Anti-Tumor Activity of Ex Viv"
NCT04464967,has_status,WITHDRAWN
NCT04464967,has_phase,
NCT04464967,sponsored_by,"NKGen Biotech, Inc."
NCT04464967,tests,SNK01
SNK01,has_type,BIOLOGICAL
NCT04464967,tests,Trastuzumab
Trastuzumab,has_type,DRUG
NCT04464967,tests,Cetuximab
Cetuximab,has_type,DRUG
NCT06690840,has_title,"A Phase II Study of Atezolizumab, Vinorelbine and Weekly Cyclophosphamide as T-cell Activators in Fi"
NCT06690840,has_status,NOT_YET_RECRUITING
NCT06690840,has_phase,
NCT06690840,sponsored_by,European Institute of Oncology
NCT06690840,tests,Atezolizumab in combination with Cyclophosphamide and Vinorelbine
Atezolizumab in combination with Cyclophosphamide and Vinorelbine,has_type,DRUG
NCT03750240,has_title,Metabolic Sodium MRI to Assess Early Response of Breast Cancer to Neoadjuvant Chemotherapy
NCT03750240,has_status,TERMINATED
NCT03750240,has_phase,
NCT03750240,sponsored_by,NYU Langone Health
NCT03750240,tests,Sodium (Na) Magnetic Resonance Imaging (MRI)
Sodium (Na) Magnetic Resonance Imaging (MRI),has_type,DIAGNOSTIC_TEST
NCT03750240,tests,Dynamic Contrast- Enhanced (DCE) MRI
Dynamic Contrast- Enhanced (DCE) MRI,has_type,DIAGNOSTIC_TEST
NCT01836640,has_title,Developing Plasma DNA as a Surrogate for Tumor Biopsy to Identify Tumor Genetic Alterations in Patie
NCT01836640,has_status,TERMINATED
NCT01836640,has_phase,
NCT01836640,sponsored_by,Dartmouth-Hitchcock Medical Center
NCT04907344,has_title,"A Multicenter, Open, Randomized Controlled Study of Camrelizumab+ Nab-paclitaxel + Carboplatin Versu"
NCT04907344,has_status,UNKNOWN
NCT04907344,has_phase,
NCT04907344,sponsored_by,Tianjin Medical University Cancer Institute and Hospital
NCT04907344,tests,Camrelizumab
Camrelizumab,has_type,DRUG
NCT04907344,tests,Nab-Paclitaxel
Nab-Paclitaxel,has_type,DRUG
NCT04907344,tests,Carboplatin
Carboplatin,has_type,DRUG
NCT00528567,has_title,"An International Multi-centre Open-label 2-arm Phase III Trial of Adjuvant Bevacizumab in ""Triple Ne"
NCT00528567,has_status,COMPLETED
NCT00528567,has_phase,
NCT00528567,sponsored_by,Hoffmann-La Roche
NCT00528567,tests,Bevacizumab
Bevacizumab,has_type,DRUG
NCT00528567,tests,Standard adjuvant chemotherapy
Standard adjuvant chemotherapy,has_type,DRUG
NCT03168880,has_title,A Randomized Controlled Trial of Neoadjuvant Weekly Paclitaxel Versus Weekly Paclitaxel Plus Weekly 
NCT03168880,has_status,ACTIVE_NOT_RECRUITING
NCT03168880,has_phase,
NCT03168880,sponsored_by,Tata Memorial Hospital
NCT03168880,tests,Paclitaxel + Carboplatin
Paclitaxel + Carboplatin,has_type,DRUG
NCT03168880,tests,Paclitaxel only
Paclitaxel only,has_type,DRUG
NCT04664829,has_title,Metastatic Triple-Negative Taxane-Resistant Breast Cancer: Investigating the Role of Bexarotene in I
NCT04664829,has_status,RECRUITING
NCT04664829,has_phase,
NCT04664829,sponsored_by,"National Cancer Centre, Singapore"
NCT04664829,tests,Bexarotene
Bexarotene,has_type,DRUG
NCT04664829,tests,Capecitabine
Capecitabine,has_type,DRUG
NCT05629429,has_title,Olaparib Maintenance Therapy in Patients With Metastatic Breast Cancer Following DNA-damaging Based 
NCT05629429,has_status,RECRUITING
NCT05629429,has_phase,
NCT05629429,sponsored_by,National Taiwan University Hospital
NCT05629429,tests,Olaparib
Olaparib,has_type,DRUG
NCT05629429,tests,Chemotherapy drug
Chemotherapy drug,has_type,DRUG
NCT05928780,has_title,A Molecular Pathway-based Umbrella Trial for First-line Precision Therapy With TROP2 in Patients Wit
NCT05928780,has_status,NOT_YET_RECRUITING
NCT05928780,has_phase,
NCT05928780,sponsored_by,Fudan University
NCT05928780,tests,A1:SG with SHR3680
A1:SG with SHR3680,has_type,DRUG
NCT05928780,tests,A2:SG
A2:SG,has_type,DRUG
NCT05928780,tests,B1:SG with SHR1210
B1:SG with SHR1210,has_type,DRUG
NCT05928780,tests,B2:SG
